PLAYER_ID,PLAYER,TEAM,AGE,HEIGHT,HEIGHT_IN,WEIGHT,POSITION
1630545,Terrence Shannon Jr.,MIN,24.0,6-6,78,215,Guard-Forward
1626179,Terry Rozier,MIA,31.0,6-1,73,190,Guard
1630678,Terry Taylor,SAC,25.0,6-4,76,230,Forward
1628418,Thomas Bryant,IND,27.0,6-10,82,248,Center-Forward
1642275,Tidjane Salaün,CHA,19.0,6-8,80,207,Forward
203501,Tim Hardaway Jr.,DET,33.0,6-5,77,205,Guard-Forward
202699,Tobias Harris,DET,32.0,6-8,80,226,Forward
1642449,Tolu Smith,DET,24.0,6-11,83,,Forward
1628396,Tony Bradley,IND,27.0,6-11,83,248,Center-Forward
1628470,Torrey Craig,BOS,34.0,6-5,77,221,Forward
1641787,Tosan Evbuomwan,BKN,24.0,6-7,79,217,Forward
1641739,Toumani Camara,POR,25.0,6-7,79,229,Forward
1629027,Trae Young,ATL,26.0,6-1,73,164,Guard
1631218,Trayce Jackson-Davis,GSW,25.0,6-9,81,245,Forward
1630200,Tre Jones,CHI,25.0,6-1,73,185,Guard
1630544,Tre Mann,CHA,24.0,6-3,75,178,Guard
1630570,Trendon Watford,BKN,24.0,6-8,80,237,Guard-Forward
1642280,Trentyn Flowers,LAC,20.0,6-9,81,185,Forward
1630243,Trevelin Queen,ORL,28.0,6-5,77,190,Guard
1641725,Trey Alexander,DEN,22.0,6-4,76,185,Guard
1641998,Trey Jemison III,LAL,25.0,6-11,83,270,Center
1626168,Trey Lyles,SAC,29.0,6-9,81,234,Forward
1630530,Trey Murphy III,NOP,25.0,6-8,80,206,Forward
202684,Tristan Thompson,CLE,34.0,6-9,81,254,Center-Forward
1641774,Tristan Vukcevic,WAS,22.0,7-0,84,220,Forward
1641783,Tristan da Silva,ORL,24.0,6-8,80,217,Forward
1641803,Tristen Newton,MIN,24.0,6-5,77,190,Guard
1629660,Ty Jerome,CLE,27.0,6-5,77,195,Guard-Forward
1631102,TyTy Washington Jr.,PHX,23.0,6-3,75,195,Guard
1629639,Tyler Herro,MIA,25.0,6-5,77,195,Guard
1642278,Tyler Kolek,NYK,24.0,6-3,75,195,Guard
1641890,Tyler Smith,MIL,20.0,6-9,81,224,Forward
1630169,Tyrese Haliburton,IND,25.0,6-5,77,185,Guard
1631213,Tyrese Martin,BKN,26.0,6-6,78,215,Forward
1630178,Tyrese Maxey,PHI,24.0,6-2,74,200,Guard
1630623,Tyson Etienne,BKN,25.0,6-2,74,200,Guard
